 file:lab1_part3.cpp ,function:main ,line:30 start of logging
 file:lab1_part3.cpp ,function:AddArrayElems ,line:13 start of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:23 end of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:13 start of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:23 end of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:13 start of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:23 end of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:13 start of function
 file:lab1_part3.cpp ,function:AddArrayElems ,line:23 end of function
