 file:lab02_part2.cpp ,function:main ,line:36 start of logging
 file:lab02_part2.cpp ,function:PrintCharArray ,line:18 starting function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:26 ending function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:18 starting function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:26 ending function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:18 starting function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:26 ending function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:18 starting function
 file:lab02_part2.cpp ,function:PrintCharArray ,line:26 ending function
