 file:lab2_part2.cpp ,function:main ,line:34 start of logging
 file:lab2_part2.cpp ,function:PrintCharArray ,line:14 starting function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:27 ending function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:14 starting function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:27 ending function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:14 starting function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:27 ending function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:14 starting function
 file:lab2_part2.cpp ,function:PrintCharArray ,line:27 ending function
