 file:hw02.cpp ,function:addAnInteger ,line:39 array capacity is: 16array count is: 14 value to add: 150
 file:hw02.cpp ,function:addAnInteger ,line:59 array capacity is: 16 array current count: 14 adding: 150
 file:hw02.cpp ,function:PrintArray ,line:20 starting PrintArray();
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 0
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 1
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 2
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 3
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 4
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 5
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 6
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 7
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 8
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 9
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 10
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 11
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 12
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 13
 file:hw02.cpp ,function:PrintArray ,line:24 printing position 14
 file:hw02.cpp ,function:PrintArray ,line:33 ending PrintArray();
